국가,매체,제목,링크,수집일시
미국,TechCrunch,"Okay, now exactly half of xAI’s founding team has left the company",https://techcrunch.com/2026/02/10/nearly-half-of-xais-founding-team-has-now-left-the-company/,2026-02-11 10:56
미국,TechCrunch,Amazon may launch a marketplace where media sites can sell their content to AI companies,https://techcrunch.com/2026/02/10/amazon-may-launch-a-marketplace-where-media-sites-can-sell-their-content-to-ai-companies/,2026-02-11 10:56
미국,TechCrunch,An ice dance duo skated to AI music at the Olympics,https://techcrunch.com/2026/02/10/olympics-czech-ice-dancers-duo-ai-music/,2026-02-11 10:56
미국,TechCrunch,Boston Dynamics CEO Robert Playter steps down after 30 years at the company,https://techcrunch.com/2026/02/10/boston-dynamics-ceo-robert-playter-steps-down-after-30-years-at-the-company/,2026-02-11 10:56
미국,TechCrunch,"VC Masha Bucher, Epstein associate and Day One founder, explains herself",https://techcrunch.com/2026/02/10/vc-masha-bucher-epstein-associate-and-day-one-founder-explains-herself/,2026-02-11 10:56
미국,The Verge,Amazon Ring’s Super Bowl ad sparks backlash amid fears of mass surveillance,https://www.theverge.com/tech/876866/ring-search-party-super-bowl-ad-online-backlash,2026-02-11 10:56
미국,The Verge,Boston Dynamics CEO Robert Playter is stepping down after six years,https://www.theverge.com/tech/876819/boston-dynamics-robots-ceo-steps-down-hyundai,2026-02-11 10:56
미국,The Verge,Bezos could have saved The Washington Post’s local news and sports reporters,https://www.theverge.com/policy/876834/bezos-washington-post-sports-local-reporters,2026-02-11 10:56
미국,The Verge,ChatGPT’s deep research tool adds a built-in document viewer so you can read its reports,https://www.theverge.com/ai-artificial-intelligence/876775/openai-deep-research-chatgpt-full-screen-report-viewer,2026-02-11 10:56
미국,The Verge,Samsung’s next Unpacked is confirmed for later this month,https://www.theverge.com/tech/876717/samsung-galaxy-unpacked-february-2026-s26,2026-02-11 10:56
미국,Wired,Salesforce Workers Circulate Open Letter Urging CEO Marc Benioff to Denounce ICE,https://www.wired.com/story/letter-salesforce-employees-sent-after-marc-benioffs-ice-comments/,2026-02-11 10:56
미국,Wired,"The Physics Behind the Quadruple Axel, the Most Difficult Jump in Figure Skating",https://www.wired.com/story/2026-winter-olympics-figure-skating-quadruple-axel-science/,2026-02-11 10:56
미국,Wired,RFK Jr. Says Americans Need More Protein. His Grok-Powered Food Website Disagrees,https://www.wired.com/story/rfk-jr-says-americans-need-more-protein-his-grok-powered-food-website-disagrees/,2026-02-11 10:56
미국,Wired,Palantir CEO Alex Karp Recorded a Video About ICE for His Employees,https://www.wired.com/story/palantir-ceo-alex-karp-employee-questions-on-ice/,2026-02-11 10:56
미국,Wired,This GoPro and Lens Bundle Is $200 Off,https://www.wired.com/story/gopro-hero-lens-bundle-deal-226/,2026-02-11 10:56
미국,Ars Technica,"SpaceX's next-gen Super Heavy booster aces four days of ""cryoproof"" testing",https://arstechnica.com/space/2026/02/spacexs-starbase-is-coming-alive-again-after-a-lull-in-starship-testing/,2026-02-11 10:56
미국,Ars Technica,Archive.today CAPTCHA page executes DDoS; Wikipedia considers banning site,https://arstechnica.com/tech-policy/2026/02/wikipedia-might-blacklist-archive-today-after-site-maintainer-ddosed-a-blog/,2026-02-11 10:56
미국,Ars Technica,Yet another co-founder departs Elon Musk's xAI,https://arstechnica.com/ai/2026/02/grok-maker-xai-loses-another-co-founder/,2026-02-11 10:56
미국,Ars Technica,"Dewormer ivermectin as cancer cure? RFK Jr.'s NIH funds ""absurd"" study.",https://arstechnica.com/health/2026/02/dewormer-ivermectin-as-cancer-cure-rfk-jr-s-nih-funds-absurd-study/,2026-02-11 10:56
미국,Ars Technica,Windows' original Secure Boot certificates expire in June—here's what you need to do,https://arstechnica.com/gadgets/2026/02/microsoft-sounds-the-alarm-about-secure-boot-certificates-expiring-later-this-year/,2026-02-11 10:56
